nrOfConversations,nrOfGhostingsAfterInitialMessage,OfOneMessageConversations,percentOfOneMessageConversations,numberOfGhostings
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
1,1,0,0,1
1,0,0,0,0
1,0,1,100,1
1,0,0,0,0
1,0,0,0,0
1,0,0,0,0
1,1,0,0,1
1,0,1,100,1
1,0,1,100,1
1,0,1,100,1
1,0,1,100,1
1,0,1,100,1
1,0,0,0,0
1,0,0,0,0
1,1,0,0,1
1,0,1,100,1
1,0,1,100,1
1,0,0,0,0
1,0,1,100,1
1,0,1,100,1
1,0,1,100,1
1,0,0,0,0
2,0,0,0,0
2,0,2,100,2
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,2,100,2
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,1,50,1
2,0,2,100,2
2,0,1,50,1
2,0,1,50,1
2,0,0,0,0
2,0,0,0,0
2,0,1,50,1
2,0,1,50,1
2,0,0,0,0
2,0,0,0,0
2,0,1,50,1
2,0,2,100,2
2,0,0,0,0
2,0,1,50,1
2,0,1,50,1
2,0,1,50,1
3,0,1,33.33333333,1
3,0,0,0,0
3,1,0,0,1
3,0,2,66.66666667,2
3,0,0,0,0
3,0,1,33.33333333,1
3,0,0,0,0
3,0,1,33.33333333,1
3,0,0,0,0
3,0,1,33.33333333,1
3,0,2,66.66666667,2
3,0,1,33.33333333,1
3,0,0,0,0
3,0,0,0,0
3,0,1,33.33333333,1
3,0,0,0,0
4,0,3,75,3
4,0,0,0,0
4,0,2,50,2
4,0,2,50,2
4,0,0,0,0
4,1,1,25,2
4,0,3,75,3
4,0,1,25,1
4,0,1,25,1
4,0,0,0,0
4,1,0,0,1
4,0,2,50,2
4,0,3,75,3
4,0,2,50,2
4,0,4,100,4
4,0,1,25,1
4,0,2,50,2
4,0,1,25,1
4,0,4,100,4
4,0,4,100,4
4,0,1,25,1
5,0,3,60,3
5,0,2,40,2
5,0,1,20,1
5,0,4,80,4
5,0,3,60,3
5,0,2,40,2
5,1,2,40,3
5,0,2,40,2
5,2,2,40,4
5,1,1,20,2
5,0,1,20,1
5,0,4,80,4
5,0,1,20,1
5,2,1,20,3
5,0,2,40,2
5,0,1,20,1
5,0,3,60,3
5,2,1,20,3
5,1,3,60,4
5,0,3,60,3
5,0,1,20,1
5,0,2,40,2
5,0,1,20,1
6,1,1,16.66666667,2
6,0,0,0,0
6,2,0,0,2
6,0,0,0,0
6,0,2,33.33333333,2
6,0,2,33.33333333,2
6,0,2,33.33333333,2
6,0,2,33.33333333,2
6,0,2,33.33333333,2
6,0,1,16.66666667,1
6,0,3,50,3
6,0,1,16.66666667,1
6,0,3,50,3
6,2,1,16.66666667,3
6,0,4,66.66666667,4
6,1,1,16.66666667,2
7,1,3,42.85714286,4
7,0,0,0,0
7,0,2,28.57142857,2
7,1,4,57.14285714,5
7,0,3,42.85714286,3
7,0,2,28.57142857,2
7,0,3,42.85714286,3
7,0,0,0,0
8,1,2,25,3
8,0,4,50,4
8,0,4,50,4
8,0,1,12.5,1
8,1,3,37.5,4
8,1,7,87.5,8
8,0,1,12.5,1
8,0,6,75,6
8,0,3,37.5,3
8,0,3,37.5,3
8,0,1,12.5,1
8,1,2,25,3
8,4,1,12.5,5
8,0,4,50,4
8,0,2,25,2
8,0,6,75,6
8,0,1,12.5,1
9,0,1,11.11111111,1
9,1,2,22.22222222,3
9,2,2,22.22222222,4
9,0,4,44.44444444,4
9,0,2,22.22222222,2
9,0,4,44.44444444,4
9,0,3,33.33333333,3
9,0,1,11.11111111,1
9,1,0,0,1
9,0,2,22.22222222,2
9,0,4,44.44444444,4
10,1,7,70,8
10,8,0,0,8
10,0,4,40,4
10,0,5,50,5
10,0,4,40,4
10,1,5,50,6
10,0,4,40,4
10,0,1,10,1
10,0,7,70,7
10,1,5,50,6
10,1,1,10,2
10,3,2,20,5
11,0,2,18.18181818,2
11,0,5,45.45454545,5
11,5,3,27.27272727,8
11,1,7,63.63636364,8
11,1,3,27.27272727,4
11,6,4,36.36363636,10
11,0,6,54.54545455,6
11,3,5,45.45454545,8
11,0,5,45.45454545,5
11,0,9,81.81818182,9
11,0,2,18.18181818,2
11,0,6,54.54545455,6
11,0,2,18.18181818,2
12,0,6,50,6
12,5,4,33.33333333,9
12,0,1,8.333333333,1
12,0,3,25,3
12,0,7,58.33333333,7
12,0,6,50,6
12,0,3,25,3
12,4,2,16.66666667,6
12,1,2,16.66666667,3
12,0,2,16.66666667,2
12,1,3,25,4
12,0,3,25,3
12,0,3,25,3
12,1,6,50,7
12,0,2,16.66666667,2
12,0,0,0,0
12,3,7,58.33333333,10
13,5,0,0,5
13,0,5,38.46153846,5
13,0,7,53.84615385,7
13,4,6,46.15384615,10
13,0,4,30.76923077,4
13,1,7,53.84615385,8
13,2,7,53.84615385,9
13,10,1,7.692307692,11
14,1,0,0,1
14,0,3,21.42857143,3
14,5,1,7.142857143,6
14,0,3,21.42857143,3
14,1,5,35.71428571,6
14,0,4,28.57142857,4
14,5,5,35.71428571,10
14,1,6,42.85714286,7
14,0,7,50,7
14,0,6,42.85714286,6
15,7,1,6.666666667,8
15,1,6,40,7
15,0,3,20,3
15,1,4,26.66666667,5
15,1,7,46.66666667,8
15,9,1,6.666666667,10
15,0,3,20,3
15,0,4,26.66666667,4
15,0,9,60,9
15,3,3,20,6
15,5,4,26.66666667,9
15,0,4,26.66666667,4
15,0,6,40,6
16,2,4,25,6
16,1,9,56.25,10
16,2,5,31.25,7
16,0,0,0,0
16,0,7,43.75,7
16,1,6,37.5,7
16,0,2,12.5,2
16,1,4,25,5
16,0,6,37.5,6
16,0,5,31.25,5
16,3,5,31.25,8
16,0,1,6.25,1
17,2,7,41.17647059,9
17,1,4,23.52941176,5
17,0,9,52.94117647,9
17,1,4,23.52941176,5
17,2,2,11.76470588,4
17,2,7,41.17647059,9
17,0,9,52.94117647,9
17,1,2,11.76470588,3
18,0,2,11.11111111,2
18,0,6,33.33333333,6
18,1,14,77.77777778,15
18,0,3,16.66666667,3
18,1,1,5.555555556,2
18,2,9,50,11
18,0,9,50,9
18,0,8,44.44444444,8
19,9,2,10.52631579,11
19,1,7,36.84210526,8
19,3,7,36.84210526,10
19,2,7,36.84210526,9
19,0,0,0,0
19,0,0,0,0
19,2,4,21.05263158,6
19,0,9,47.36842105,9
19,0,9,47.36842105,9
19,1,9,47.36842105,10
19,0,6,31.57894737,6
20,1,4,20,5
20,15,2,10,17
20,0,1,5,1
20,1,2,10,3
20,3,5,25,8
20,1,4,20,5
20,7,1,5,8
20,3,11,55,14
20,0,8,40,8
20,0,11,55,11
20,18,0,0,18
21,0,2,9.523809524,2
21,5,3,14.28571429,8
21,2,9,42.85714286,11
21,0,10,47.61904762,10
21,6,8,38.0952381,14
21,0,7,33.33333333,7
21,19,0,0,19
21,0,6,28.57142857,6
21,0,2,9.523809524,2
21,7,6,28.57142857,13
21,3,12,57.14285714,15
21,8,2,9.523809524,10
21,0,9,42.85714286,9
21,3,4,19.04761905,7
21,0,4,19.04761905,4
22,8,4,18.18181818,12
22,0,11,50,11
22,0,6,27.27272727,6
22,0,8,36.36363636,8
22,0,8,36.36363636,8
22,0,4,18.18181818,4
22,0,8,36.36363636,8
22,0,7,31.81818182,7
22,0,7,31.81818182,7
22,1,13,59.09090909,14
22,0,9,40.90909091,9
22,0,10,45.45454545,10
23,2,3,13.04347826,5
23,0,9,39.13043478,9
23,0,7,30.43478261,7
23,0,10,43.47826087,10
23,1,1,4.347826087,2
23,2,7,30.43478261,9
23,0,7,30.43478261,7
23,1,9,39.13043478,10
23,0,8,34.7826087,8
23,3,6,26.08695652,9
23,1,4,17.39130435,5
23,3,8,34.7826087,11
24,0,3,12.5,3
24,2,8,33.33333333,10
24,7,3,12.5,10
24,0,6,25,6
24,0,5,20.83333333,5
24,0,2,8.333333333,2
24,0,7,29.16666667,7
24,3,12,50,15
24,0,14,58.33333333,14
24,2,16,66.66666667,18
24,0,3,12.5,3
24,2,11,45.83333333,13
25,0,4,16,4
25,1,2,8,3
25,0,10,40,10
25,3,1,4,4
25,1,5,20,6
25,0,17,68,17
25,14,6,24,20
25,2,7,28,9
25,1,11,44,12
25,1,3,12,4
25,5,4,16,9
25,5,7,28,12
25,1,6,24,7
26,3,10,38.46153846,13
26,0,17,65.38461538,17
26,0,14,53.84615385,14
26,0,7,26.92307692,7
26,0,8,30.76923077,8
26,7,5,19.23076923,12
27,5,6,22.22222222,11
27,4,6,22.22222222,10
27,6,7,25.92592593,13
27,0,13,48.14814815,13
27,1,17,62.96296296,18
27,0,13,48.14814815,13
27,0,12,44.44444444,12
27,5,8,29.62962963,13
28,2,9,32.14285714,11
28,3,12,42.85714286,15
28,0,9,32.14285714,9
28,2,17,60.71428571,19
28,0,3,10.71428571,3
28,7,3,10.71428571,10
28,0,11,39.28571429,11
28,0,16,57.14285714,16
28,7,5,17.85714286,12
29,14,6,20.68965517,20
29,1,9,31.03448276,10
29,0,14,48.27586207,14
29,1,8,27.5862069,9
29,2,7,24.13793103,9
29,0,13,44.82758621,13
29,0,2,6.896551724,2
29,12,7,24.13793103,19
29,1,11,37.93103448,12
29,1,10,34.48275862,11
30,6,8,26.66666667,14
30,0,14,46.66666667,14
30,0,20,66.66666667,20
31,2,9,29.03225806,11
31,13,10,32.25806452,23
31,1,5,16.12903226,6
31,0,21,67.74193548,21
31,0,10,32.25806452,10
31,1,0,0,1
32,14,12,37.5,26
32,1,4,12.5,5
32,0,8,25,8
32,0,11,34.375,11
32,1,18,56.25,19
32,3,3,9.375,6
33,12,4,12.12121212,16
33,0,16,48.48484848,16
33,0,5,15.15151515,5
33,22,6,18.18181818,28
34,11,6,17.64705882,17
34,0,12,35.29411765,12
34,24,6,17.64705882,30
34,6,14,41.17647059,20
34,1,8,23.52941176,9
34,4,17,50,21
34,13,10,29.41176471,23
35,2,22,62.85714286,24
35,10,15,42.85714286,25
35,5,9,25.71428571,14
35,4,21,60,25
35,3,8,22.85714286,11
35,2,15,42.85714286,17
35,15,1,2.857142857,16
35,1,14,40,15
35,0,7,20,7
35,0,10,28.57142857,10
35,5,11,31.42857143,16
36,0,7,19.44444444,7
36,1,3,8.333333333,4
36,1,11,30.55555556,12
36,0,9,25,9
36,1,4,11.11111111,5
36,0,15,41.66666667,15
36,7,5,13.88888889,12
36,0,1,2.777777778,1
36,5,4,11.11111111,9
37,14,10,27.02702703,24
37,1,18,48.64864865,19
37,2,9,24.32432432,11
37,1,6,16.21621622,7
37,0,5,13.51351351,5
37,19,11,29.72972973,30
37,4,7,18.91891892,11
37,0,16,43.24324324,16
37,3,13,35.13513514,16
37,2,7,18.91891892,9
37,1,18,48.64864865,19
38,7,2,5.263157895,9
38,0,13,34.21052632,13
38,0,13,34.21052632,13
38,0,18,47.36842105,18
38,3,19,50,22
38,3,17,44.73684211,20
39,12,9,23.07692308,21
39,0,7,17.94871795,7
39,0,7,17.94871795,7
39,2,22,56.41025641,24
40,8,3,7.5,11
40,5,11,27.5,16
40,2,25,62.5,27
41,0,3,7.317073171,3
41,0,7,17.07317073,7
41,0,19,46.34146341,19
41,1,5,12.19512195,6
41,6,24,58.53658537,30
42,3,21,50,24
42,1,13,30.95238095,14
42,7,11,26.19047619,18
42,0,10,23.80952381,10
42,0,16,38.0952381,16
43,3,24,55.81395349,27
43,5,20,46.51162791,25
43,2,16,37.20930233,18
44,1,9,20.45454545,10
44,4,10,22.72727273,14
44,6,10,22.72727273,16
44,2,9,20.45454545,11
44,5,15,34.09090909,20
44,0,24,54.54545455,24
44,9,22,50,31
45,1,24,53.33333333,25
45,0,24,53.33333333,24
45,7,5,11.11111111,12
45,2,16,35.55555556,18
45,3,15,33.33333333,18
45,22,11,24.44444444,33
45,2,20,44.44444444,22
46,8,29,63.04347826,37
46,0,31,67.39130435,31
46,3,29,63.04347826,32
46,0,29,63.04347826,29
47,0,3,6.382978723,3
47,4,5,10.63829787,9
47,0,18,38.29787234,18
47,0,14,29.78723404,14
48,5,26,54.16666667,31
48,6,20,41.66666667,26
48,2,22,45.83333333,24
49,10,21,42.85714286,31
49,7,19,38.7755102,26
49,2,4,8.163265306,6
49,0,19,38.7755102,19
49,5,5,10.20408163,10
49,1,26,53.06122449,27
50,0,12,24,12
50,8,19,38,27
50,6,16,32,22
51,0,9,17.64705882,9
51,3,19,37.25490196,22
51,0,17,33.33333333,17
51,0,24,47.05882353,24
52,0,21,40.38461538,21
52,2,19,36.53846154,21
52,3,5,9.615384615,8
52,1,20,38.46153846,21
52,1,15,28.84615385,16
52,0,8,15.38461538,8
52,0,6,11.53846154,6
53,1,14,26.41509434,15
53,1,28,52.83018868,29
53,0,19,35.8490566,19
54,6,12,22.22222222,18
54,2,15,27.77777778,17
54,12,14,25.92592593,26
55,20,14,25.45454545,34
55,1,25,45.45454545,26
55,4,18,32.72727273,22
55,2,14,25.45454545,16
55,1,21,38.18181818,22
55,14,7,12.72727273,21
55,0,18,32.72727273,18
55,2,30,54.54545455,32
56,1,25,44.64285714,26
56,11,7,12.5,18
56,25,7,12.5,32
56,4,16,28.57142857,20
56,0,14,25,14
56,0,16,28.57142857,16
57,3,26,45.61403509,29
57,1,33,57.89473684,34
58,3,16,27.5862069,19
58,4,22,37.93103448,26
58,18,9,15.51724138,27
58,0,16,27.5862069,16
59,15,18,30.50847458,33
59,4,14,23.72881356,18
59,1,22,37.28813559,23
59,1,13,22.03389831,14
59,1,21,35.59322034,22
59,4,28,47.45762712,32
59,16,16,27.11864407,32
59,2,27,45.76271186,29
60,0,21,35,21
60,0,25,41.66666667,25
60,5,22,36.66666667,27
61,21,12,19.67213115,33
61,3,22,36.06557377,25
61,4,15,24.59016393,19
61,0,18,29.50819672,18
62,1,25,40.32258065,26
62,2,10,16.12903226,12
62,1,37,59.67741935,38
62,7,22,35.48387097,29
62,1,3,4.838709677,4
62,0,30,48.38709677,30
62,1,23,37.09677419,24
63,5,20,31.74603175,25
63,2,16,25.3968254,18
63,4,12,19.04761905,16
64,13,23,35.9375,36
64,12,20,31.25,32
65,1,27,41.53846154,28
65,0,18,27.69230769,18
65,4,29,44.61538462,33
65,0,28,43.07692308,28
65,3,23,35.38461538,26
66,1,34,51.51515152,35
66,0,16,24.24242424,16
66,1,17,25.75757576,18
66,1,30,45.45454545,31
66,19,11,16.66666667,30
67,3,27,40.29850746,30
67,5,9,13.43283582,14
67,2,34,50.74626866,36
67,15,13,19.40298507,28
67,5,27,40.29850746,32
67,9,13,19.40298507,22
68,10,11,16.17647059,21
68,22,25,36.76470588,47
68,3,22,32.35294118,25
70,2,16,22.85714286,18
70,7,22,31.42857143,29
71,15,13,18.30985915,28
71,1,7,9.85915493,8
71,1,21,29.57746479,22
71,0,17,23.94366197,17
71,18,15,21.12676056,33
71,2,15,21.12676056,17
72,3,7,9.722222222,10
72,1,37,51.38888889,38
72,1,23,31.94444444,24
73,1,7,9.589041096,8
73,0,14,19.17808219,14
73,6,18,24.65753425,24
74,2,20,27.02702703,22
75,8,35,46.66666667,43
75,21,26,34.66666667,47
75,1,29,38.66666667,30
75,1,29,38.66666667,30
75,5,13,17.33333333,18
75,6,38,50.66666667,44
76,0,32,42.10526316,32
77,0,22,28.57142857,22
77,3,30,38.96103896,33
77,4,19,24.67532468,23
77,10,26,33.76623377,36
77,2,23,29.87012987,25
78,0,4,5.128205128,4
79,1,34,43.03797468,35
79,8,31,39.24050633,39
79,0,38,48.10126582,38
79,1,37,46.83544304,38
79,1,23,29.11392405,24
79,65,6,7.594936709,71
80,8,33,41.25,41
80,11,32,40,43
80,5,43,53.75,48
81,39,13,16.04938272,52
81,1,23,28.39506173,24
81,0,44,54.32098765,44
81,4,35,43.20987654,39
81,0,46,56.79012346,46
82,0,33,40.24390244,33
82,4,22,26.82926829,26
82,1,17,20.73170732,18
82,2,48,58.53658537,50
83,51,10,12.04819277,61
84,14,22,26.19047619,36
84,3,28,33.33333333,31
84,12,32,38.0952381,44
84,39,7,8.333333333,46
84,1,32,38.0952381,33
84,0,29,34.52380952,29
84,0,29,34.52380952,29
85,1,28,32.94117647,29
85,3,21,24.70588235,24
85,2,11,12.94117647,13
85,5,46,54.11764706,51
85,1,63,74.11764706,64
85,16,18,21.17647059,34
86,11,22,25.58139535,33
86,0,26,30.23255814,26
86,8,27,31.39534884,35
86,1,42,48.8372093,43
87,33,7,8.045977011,40
87,22,13,14.94252874,35
87,1,20,22.98850575,21
87,0,33,37.93103448,33
87,0,18,20.68965517,18
88,23,6,6.818181818,29
88,9,23,26.13636364,32
88,6,8,9.090909091,14
89,13,18,20.2247191,31
89,20,21,23.59550562,41
89,10,32,35.95505618,42
90,0,31,34.44444444,31
90,6,43,47.77777778,49
91,4,9,9.89010989,13
91,9,41,45.05494505,50
91,2,49,53.84615385,51
91,1,23,25.27472527,24
